ha_x;ha_y;anz_vzae;anz_vzae_w;anz_besch;anz_ast;ht;widl;handel;finanz;freiedl;gewerbe;gesundheit;bau;sonstdl;inform;unterricht;verkehr;uebrige;anz_vzae_w_share;ht_share;widl_share;handel_share;finanz_share;freiedl_share;gewerbe_share;gesundheit_share;bau_share;sonstdl_share;inform_share;unterricht_share;verkehr_share;uebrige_share
2669950;1262650;369.2926467;52.1806349;393;7;319.3056094;5.7613615;41.3799324;0;5.7613615;319.3056094;0;0;0;0;0;0;2.84574340000006;0.141298873308977;0.864641124737564;0.0156010728929578;0.112051872058031;0;0.0156010728929578;0.864641124737564;0;0;0;0;0;0;0.00770593031144711
2670050;1261850;5.1941666;0.2582216;7;4;0;0;0;0;0;0;0;0;0;0;0;0;5.1941666;0.0497137692888018;0;0;0;0;0;0;0;0;0;0;0;0;1
2670450;1261950;4.4144142;1.58381;7;5;0;2.4268712;0;0;0.9686223;1.987543;0.9182498;0;0;0;0;0;0.5399991;0.35878146640612;0;0.54976064547817;0;0;0.219422613310731;0.45023935452183;0.208011699491181;0;0;0;0;0;0.122326332676259
2670450;1262550;4.70296;0.6571497;8;3;0;2.753839;1.949121;0;0;0;0.1924249;0;0;2.5614141;0;0;0;0.139731084253321;0;0.585554416792828;0.414445583207172;0;0;0;0.0409156998996377;0;0;0.544638716893191;0;0;0
2670650;1262650;6.8527559;2.9782666;9;3;0;1.3086214;5.5441345;0.9686223;0;0;0.3399991;0;0;0;0;0;0;0.434608593018759;0;0.190962792064431;0.809037207935569;0.141347848097143;0;0;0.0496149439672877;0;0;0;0;0;0
2670750;1261950;9.553198;0.3399991;11;5;0;1.0560628;0;0;0.7160637;0;0;0;7;0.3399991;0;0;1.4971352;0.0355900819809241;0;0.110545473882149;0;0;0.0749553919012251;0;0;0;0.732738921563229;0.0355900819809241;0;0;0.156715604554621
2670750;1262350;15.624622;7.3076825;24;8;0;9.0493865;0;3.5236584;5.5257281;0;0;0;0.2114311;0;0;1.7148386;4.6489658;0.467702994670847;0;0.579174747395489;0;0.225519593370003;0.353655154025486;0;0;0;0.0135319177641546;0;0;0.109752325528259;0.297541009312097
2670750;1262450;16.5080751;2.3093212;20;4;0;1.1645997;0;0;0.9182498;0;0;15.3434754;0;0;0;0;0.246349899999998;0.139890398245159;0;0.0705472741640241;0;0;0.0556242805074227;0;0;0.929452725835976;0;0;0;0;0.0149229936566013
2670750;1262650;3.4530432;1.2694487;6;3;0;1.5549713;1.8980719;0;0;0;0;0;0;1.3086214;0;0;0.2463499;0.367631861657566;0;0.450319098237752;0.549680901762248;0;0;0;0;0;0;0.378976260708236;0;0;0.0713428375295159
2670850;1262050;21.7060628;18.3699991;37;5;0;18.9899991;0;0;0;0;0.3399991;0;2.7160637;0;18.65;0;0;0.846307286091515;0;0.874870734272454;0;0;0;0;0.0156637849587351;0;0.125129265727546;0;0.859206949313719;0;0
