"","BFS","J_0_6","J_7_15","J_16_19","J_20_24","J_25_44","J_45_64","J_65_79","J_80P","MANN","FRAU","SCHWEIZ","AUSLAND","STICHTAG","TOT","GKODE_HEKTARMP","GKODN_HEKTARMP"
"1",195,5,5,0,4,23,21,11,4,39,34,53,20,2018-03-31,73,2693150,1243950
"2",261,16,12,6,10,64,52,8,0,83,85,105,63,2018-03-31,168,2678850,1248850
"3",295,2,11,7,5,12,25,5,3,35,35,49,21,2018-03-31,70,2687750,1234450
"4",245,12,17,5,9,42,22,8,5,66,54,43,77,2018-03-31,120,2676850,1251650
"5",261,7,10,3,3,35,18,13,9,45,53,84,14,2018-03-31,98,2679950,1246450
"6",96,10,11,2,7,29,27,6,1,48,45,60,33,2018-03-31,93,2676950,1256450
"7",191,2,5,2,2,7,9,0,0,10,17,24,3,2018-03-31,27,2688550,1249750
"8",56,10,6,4,3,33,13,3,1,37,36,47,26,2018-03-31,73,2687350,1262550
"9",40,4,9,4,0,9,15,3,1,21,24,30,15,2018-03-31,45,2694150,1277050
"10",199,6,9,3,6,30,43,36,6,67,72,117,22,2018-03-31,139,2692250,1249350
"11",220,1,1,2,2,4,10,4,0,12,12,21,3,2018-03-31,24,2709050,1264350
"12",196,3,5,1,1,8,12,12,3,21,24,39,6,2018-03-31,45,2696650,1240750
"13",294,5,6,2,1,15,5,5,3,22,20,38,4,2018-03-31,42,2707450,1261950
"14",261,18,16,4,13,135,57,14,7,127,137,173,91,2018-03-31,264,2680250,1252950
"15",261,9,3,1,2,22,22,12,4,34,41,47,28,2018-03-31,75,2682550,1245150
"16",117,0,3,3,3,2,19,15,2,27,20,47,0,2018-03-31,47,2707750,1239550
"17",5,1,4,6,4,26,21,19,0,39,42,67,14,2018-03-31,81,2676150,1239150
"18",200,2,2,1,8,5,14,6,1,24,15,32,7,2018-03-31,39,2690750,1251650
"19",131,6,5,0,0,8,12,5,0,19,17,29,7,2018-03-31,36,2681850,1239650
"20",155,2,0,0,2,4,12,6,6,15,17,32,0,2018-03-31,32,2695750,1234150
"21",261,3,3,1,7,33,39,13,13,60,52,79,33,2018-03-31,112,2682150,1251450
"22",261,22,12,4,6,59,37,7,1,63,85,114,34,2018-03-31,148,2682250,1245050
"23",96,3,4,2,5,31,31,9,1,44,42,59,27,2018-03-31,86,2677250,1253750
"24",117,3,5,3,7,26,22,8,4,40,38,65,13,2018-03-31,78,2706050,1239550
"25",296,10,9,3,11,67,55,39,13,110,97,142,65,2018-03-31,207,2694850,1254050
"26",261,5,2,1,2,8,10,3,2,14,19,12,21,2018-03-31,33,2685250,1251850
"27",176,6,12,3,5,13,34,27,3,51,52,86,17,2018-03-31,103,2695150,1255350
"28",230,12,16,3,5,31,17,15,7,53,53,81,25,2018-03-31,106,2698250,1260850
"29",261,14,12,4,9,60,52,23,13,89,98,160,27,2018-03-31,187,2682550,1249450
"30",56,0,1,0,0,1,5,4,0,5,6,11,0,2018-03-31,11,2687350,1261650
"31",245,7,4,2,4,14,21,11,4,33,34,58,9,2018-03-31,67,2677450,1251850
"32",295,4,11,1,1,33,15,9,1,38,37,46,29,2018-03-31,75,2688050,1234750
"33",118,3,12,6,4,16,25,3,0,34,35,54,15,2018-03-31,69,2708350,1235250
"34",66,16,6,2,6,59,28,16,4,75,62,65,72,2018-03-31,137,2684650,1253450
